,publisher,dagger,author,isbn,price,date,title,weeks_on_list,no_of_words_title
283,Berkley,0,Christine Feehan,0451488512,0,2018-02-18,JUDGMENT ROAD,2,2
284,Grand Central,0,Douglas Preston and Lincoln Child,145553692X,0,2018-02-11,CITY OF ENDLESS NIGHT,2,4
285,Morrow,0,Karin Slaughter,0062430262,0,2018-01-14,THE GOOD DAUGHTER,2,3
286,Bantam,0,Dean Koontz,0345546784,0,2017-12-03,THE SILENT CORNER,2,3
287,Putnam,0,Clive Cussler and Boyd Morrison,039957557X,0,2017-12-03,TYPHOON FURY,2,2
288,Simon & Schuster,0,Mary Higgins Clark and Alafair Burke,150117164X,0,2017-12-03,EVERY BREATH YOU TAKE,2,4
289,Berkley,0,Christine Feehan,0399583971,0,2017-11-19,LEOPARD'S BLOOD,2,2
290,Knopf,0,Tom Hanks,1101946156,0,2017-11-19,UNCOMMON TYPE,2,2
291,Delacorte,0,Danielle Steel,1101884061,0,2017-11-05,FAIRYTALE,2,1
292,Minotaur,0,Louise Penny,1250066190,0,2017-09-24,GLASS HOUSES,2,2
293,Delacorte,0,Danielle Steel,0345531086,0,2017-07-23,THE DUCHESS,2,2
294,Putnam,0,Mike Maden,0735215863,0,2017-07-09,TOM CLANCY: POINT OF CONTACT,2,5
295,Morrow,0,Dorothea Benton Frank,0062390783,0,2017-06-11,"SAME BEACH, NEXT YEAR",2,4
296,Delacorte,0,Danielle Steel,110188391X,0,2017-05-28,AGAINST ALL ODDS,2,3
297,St. Martin's,0,Lisa Scottoline,1250099587,0,2017-05-07,ONE PERFECT LIE,2,3
298,HQN,0,Linda Lael Miller,037378970X,0,2017-04-16,FOREVER A HERO,2,3
299,Putnam,0,C J Box,0399176616,0,2017-04-16,VICIOUS CIRCLE,2,2
300,Delacorte,0,Danielle Steel,110188388X,0,2017-04-02,DANGEROUS GAMES,2,2
301,Ballantine,0,Jonathan Kellerman,0345541448,0,2017-03-12,HEARTBREAK HOTEL,2,2
302,Random House,0,George Saunders,0812995341,0,2017-03-12,LINCOLN IN THE BARDO,2,4
303,Putnam,0,Stuart Woods,None,0,2017-01-29,BELOW THE BELT,2,3
304,St. Martin's,0,B A Paris,1250121019,0,2016-12-18,BEHIND CLOSED DOORS,2,3
305,Tijan,0,Tijan,None,0,2016-09-18,ANTI-STEPBROTHER,2,1
306,Ballantine,0,Tess Gerritsen,0345543866,0,2016-08-07,DIE AGAIN,2,2
307,Putnam,0,Grant Blackwood,0399176802,0,2016-07-10,TOM CLANCY: DUTY AND HONOR,2,5
308,"Little, Brown",0,James Patterson with Max DiLallo,0316317128,0,2016-07-03,ZOO 2,2,2
309,Ballantine,0,Justin Cronin,0804177643,0,2016-06-19,THE CITY OF MIRRORS,2,4
310,Lauren Blakely,0,Lauren Blakely,None,0,2016-05-29,MISTER O,2,2
311,Knopf,0,Richard Russo,0307270645,0,2016-05-29,EVERYBODY'S FOOL,2,2
312,Minotaur,0,Steve Berry,1466862610,0,2016-05-01,THE 14TH COLONY,2,3
313,Anchor,0,Lincoln Child,0385531397,0,2016-04-10,THE THIRD GATE,2,3
314,Grand Central,0,Jeffery Deaver,1455536369,0,2016-04-03,THE STEEL KISS,2,3
315,St. Martin's,0,Lisa Scottoline,1466842040,0,2016-03-20,KEEP QUIET,2,2
316,Penelope Ward,0,Penelope Ward,1942215363,0,2016-03-13,ROOMHATE,2,1
317,Touchstone,0,J A Jance,None,0,2016-02-07,COLD BETRAYAL,2,2
318,Lucasbooks,0,Alan Dean Foster,1101965495,0,2016-01-31,THE FORCE AWAKENS,2,3
319,Mira,0,Mary Kubica,1460330196,0,2015-12-20,THE GOOD GIRL,2,3
320,Simon & Schuster,0,Mary Higgins Clark and Alafair Burke,1501108557,0,2015-12-13,ALL DRESSED IN WHITE,2,4
321,Grand Central,0,Douglas Preston and Lincoln Child,1455525936,0,2015-12-06,CRIMSON SHORE,2,2
322,Putnam,0,J D Robb,None,0,2015-10-11,DEVOTED IN DEATH,2,3
323,EverAfter Romance,0,Alessandra Torre,None,0,2015-10-04,HOLLYWOOD DIRT,2,2
324,Del Rey,0,Chuck Wendig,034551162X,0,2015-09-27,STAR WARS: AFTERMATH,2,3
325,"Farrar, Straus & Giroux",0,Jonathan Franzen,0374239215,0,2015-09-27,PURITY,2,1
326,Mira,0,Ron Carr,1460382072,0,2015-07-26,A NEW HOPE,2,3
327,Putnam,0,Grant Blackwood,None,0,2015-07-12,TOM CLANCY UNDER FIRE,2,4
328,CreateSpace,0,Jamie McGuire,None,0,2015-06-21,BEAUTIFUL SACRIFICE,2,2
329,Putnam,0,Stuart Woods,None,0,2015-05-03,HOT PURSUIT,2,2
330,Putnam,0,J D Robb,0698161440,0,2015-03-08,OBSESSION IN DEATH,2,3
331,Metal Blonde,0,Karina Halle,None,0,2015-01-25,THE PACT,2,2
332,Melanie Marchande,0,Melanie Marchande,None,0,2014-12-07,HIS SECRETARY,2,2
333,Knopf,0,Anne Rice,0307962520,0,2014-11-23,PRINCE LESTAT,2,2
334,Putnam,0,Clive Cussler,None,0,2014-11-23,HAVANA STORM,2,2
335,Knopf,0,Haruki Murakami,0385352107,0,2014-09-07,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,2,8
336,Morrow/HarperCollins,0,Hazel Gaynor,0062316877,0,2014-06-15,THE GIRL WHO CAME HOME,2,5
337,St. Martin's,0,Jeffrey Archer,None,0,2014-04-06,BE CAREFUL WHAT YOU WISH FOR,2,6
338,Tor/Tom Doherty,0,Brandon Sanderson,None,0,2014-03-30,WORDS OF RADIANCE,2,3
339,Morrow/HarperCollins,0,Diane Mott Davidson,None,0,2014-03-23,THE WHOLE ENCHILADA,2,3
340,St. Martin's,0,Jeffrey Archer,None,0,2014-02-16,BEST KEPT SECRET,2,3
341,Grand Central,0,Douglas Preston and Lincoln Child,1455525855,0,2013-12-08,WHITE FIRE,2,2
342,J.C. Reed,0,JC Reed,None,0,2013-11-10,TREASURE YOUR LOVE,2,3
343,Harlequin Mira,0,Ron Carr,1460317971,0,2013-09-22,THE HERO,2,2
344,Berkley,0,Maya Banks,None,0,2013-09-01,BURN,2,1
345,Birch Paper Press,0,Ryan Winfield,None,0,2013-08-25,JANE'S MELODY,2,2
346,Delacorte,0,Danielle Steel,None,0,2013-08-11,FIRST SIGHT,2,2
347,Harlequin Mira,0,Ron Carr,1460315065,0,2013-07-21,THE NEWCOMER,2,2
348,Abbi Glines,0,Abbi Glines,0988301334,0,2013-07-07,FOREVER TOO FAR,2,3
349,Georgia Cates,0,Georgia Cates,1628470356,0,2013-06-23,BEAUTY FROM SURRENDER,2,3
350,Abbi Glines,0,Abbi Glines,0988301326,0,2013-05-19,TWISTED PERFECTION,2,2
351,Scribner,0,Kathy Reichs,1439112827,0,2013-05-12,BONES ARE FOREVER,2,3
352,Putnam,0,Stuart Woods,None,0,2013-05-05,UNINTENDED CONSEQUENCES,2,2
353,Penguin Group,0,Maya Banks,None,0,2013-04-28,FEVER,2,1
354,Simon & Schuster,0,Jamie McGuire,1476712999,0,2013-04-28,WALKING DISASTER,2,2
355,Penguin Group,0,J R Ward,None,0,2013-04-21,LOVER AT LAST,2,3
356,Courtney Cole,0,Courtney Cole,None,0,2013-03-10,IF YOU STAY,2,3
357,Random House Publishing,0,Jonathan Kellerman,0345538811,0,2013-03-10,GUILT,2,1
358,Random House Publishing,0,Danielle Steel,034553865X,0,2013-02-24,UNTIL THE END OF TIME,2,5
359,HarperCollins,0,James Rollins,None,0,2013-02-03,THE DEVIL COLONY,2,3
360,Raine Miller,0,Raine Miller,None,0,2012-12-09,ALL IN,2,2
361,Berkley Books,0,Christine Feehan,None,0,2012-10-28,DARK STORM,2,2
362,Grand Central Publishing,0,Jill Shalvis,0446576468,0,2012-10-07,SIMPLY IRRESISTIBLE,2,2
363,Entangled Publishing,0,Gina L Maxwell,None,0,2012-09-09,SEDUCING CINDERELLA,2,2
364,Scribner,0,Stephen King,1451658907,0,2012-05-20,THE WIND THROUGH THE KEYHOLE,2,5
365,Random House Publishing,0,Sophie Kinsella,0679644687,0,2012-03-11,I'VE GOT YOUR NUMBER,2,4
366,St. Martinâs Press,0,Kristin Hannah,0312364431,0,2012-02-19,NIGHT ROAD,2,2
367,Simon & Schuster,0,Janet Evanovich,0684867311,0,2012-02-19,ONE FOR THE MONEY,2,4
368,P. J. Alderman,0,P J Alderman,None,0,2011-10-30,A KILLING TIDE,2,3
369,Grand Central,0,Douglas Preston and Lincoln Child,0446554987,0,2011-08-28,COLD VENGEANCE,2,2
370,Penguin Group,0,Jim Butcher,045146379X,0,2011-08-21,GHOST STORY,2,2
371,Penguin Group,0,Catherine Coulter,None,0,2011-08-14,SPLIT SECOND,2,2
372,HarperCollins,0,S J Watson,None,0,2011-07-31,BEFORE I GO TO SLEEP,2,5
373,Random House,0,Tess Gerritsen,0345526600,0,2011-07-31,THE SILENT GIRL,2,3
374,"Little, Brown",0,Elin Hilderbrand,0316175579,0,2011-07-17,SILVER GIRL,2,2
375,Random House,0,Danielle Steel,0385343140,0,2011-05-01,44 CHARLES STREET,2,3
376,Harlequin,0,Linda Lael Miller,0373775555,0,2011-03-20,A CREED IN STONE CREEK,2,5
377,Harlequin,0,Ron Carr,0778329313,0,2011-02-20,WILD MAN CREEK,2,3
378,Scribner,0,Stephen King,1501180983,0,2018-06-09,THE OUTSIDER,1,2
379,Gallery,0,Mary Alice Monroe,1501193317,0,2018-06-09,BEACH HOUSE REUNION,1,3
380,C. Scott Publishing,0,Penelope Ward and Vi Keeland,1942215800,0,2018-06-09,REBEL HEART,1,2
381,Red Dress Press,0,Meghan March,1943796106,0,2018-06-09,ROGUE ROYALTY,1,2
382,Grand Central,0,James Patterson and Rees Jones,1538714450,0,2018-06-03,PRINCESS,1,1
383,Bantam,0,Dean Koontz,0525483446,0,2018-05-27,THE CROOKED STAIRCASE,1,3
384,Berkley,0,Amanda Quick,0399585338,0,2018-05-27,THE OTHER LADY VANISHES,1,4
385,Knopf,0,Michael Ondaatje,0525521194,0,2018-05-27,WARLIGHT,1,1
386,Susan Stoker,0,Susan Stoker,None,0,2018-05-27,RESCUING WENDY,1,2
387,Berkley,0,Mary Balogh,0399586091,0,2018-05-20,SOMEONE TO CARE,1,3
388,Ace,0,Faith Hunter,1101991437,0,2018-05-20,DARK QUEEN,1,2
389,Harper,0,Aimee Molloy,0062696815,0,2018-05-20,THE PERFECT MOTHER,1,3
390,Putnam,0,Ace Atkins,0698413075,0,2018-05-20,ROBERT B. PARKER'S OLD BLACK MAGIC,1,6
391,Delacorte,0,Lee Child,0440339340,0,2018-05-20,WORTH DYING FOR,1,3
392,St. Martin's,0,Iris Johansen,1466887249,0,2018-05-13,SHATTERED MIRROR,1,2
393,Red Dress Press,0,Meghan March,1943796084,0,2018-05-13,IRON PRINCESS,1,2
394,Oak Press,0,Bella Andre and Jennifer Skully,1945253436,0,2018-05-13,WILD IN LOVE,1,3
395,Anchor,0,Kevin Kwan,0345803787,0,2018-05-13,CRAZY RICH ASIANS,1,3
396,MIRA,0,Ron Carr,1488023557,0,2018-05-06,THE FAMILY GATHERING,1,3
397,Morrow,0,Christopher Moore,0062433970,0,2018-05-06,NOIR,1,1
398,Atria,0,Lisa Jewell,1501154664,0,2018-05-06,THEN SHE WAS GONE,1,4
399,Ballantine,0,JR Ward,None,0,2018-04-29,THE THIEF,1,2
400,Gallery,0,Catherine Coulter and JT Ellison,1501138219,0,2018-04-29,THE SIXTH DAY,1,3
401,Grand Central,0,Jeffery Deaver,1455536415,0,2018-04-29,THE CUTTING EDGE,1,3
402,"Little, Brown",0,Madeline Miller,0316556343,0,2018-04-29,CIRCE,1,1
403,C. Scott,0,Vi Keeland and Penelope Ward,1942215835,0,2018-04-29,REBEL HEIR,1,2
404,Harper,0,Anne Hillerman,0062391941,0,2018-04-22,CAVE OF BONES,1,3
405,Riverhead,0,Meg Wolitzer,0525533222,0,2018-04-22,THE FEMALE PERSUASION,1,3
406,Del Rey,0,Kevin Hearne,0345548558,0,2018-04-22,SCOURGED,1,1
407,Harper,0,Jacqueline Winspear,0062436651,0,2018-04-15,TO DIE BUT ONCE,1,4
408,Avon,0,Lynsay Sands,0062468871,0,2018-04-15,TWICE BITTEN,1,2
409,Red Dress,0,Meghan March,1943796068,0,2018-04-15,SAVAGE PRINCE,1,2
410,Viking,0,Elizabeth George,069841165X,0,2018-04-08,THE PUNISHMENT SHE DESERVES,1,4
411,Minotaur,0,Steve Berry,1250140234,0,2018-04-08,THE BISHOP'S PAWN,1,3
412,Berkley,0,Christine Feehan,0451489888,0,2018-04-08,COVERT GAME,1,2
413,Atlantic Monthly,0,Donna Leon,0802165613,0,2018-04-08,THE TEMPTATION OF FORGIVENESS,1,4
414,Ballantine,0,JR Ward,0525620923,0,2018-04-01,DEAREST IVIE,1,2
415,Doubleday,0,Chris Bohjalian,0385542429,0,2018-04-01,THE FLIGHT ATTENDANT,1,3
416,Putnam,0,Randy Wayne White,0735212783,0,2018-04-01,CARIBBEAN RIM,1,2
417,Ace,0,Patricia Briggs,0698195833,0,2018-03-25,BURN BRIGHT,1,2
418,Del Rey,0,Jason Fry,1524797111,0,2018-03-25,STAR WARS: THE LAST JEDI,1,5
419,Morrow,0,Linda Howard,006241903X,0,2018-03-25,THE WOMAN LEFT BEHIND,1,4
420,Delacorte,0,Karen Marie Moning,0399593675,0,2018-03-25,HIGH VOLTAGE,1,2
421,Avon,0,Lisa Kleypas,0062371894,0,2018-03-18,HELLO STRANGER,1,2
422,HQN,0,Marie Force,1488079021,0,2018-03-18,FATAL CHAOS,1,2
423,Kensington,0,Joanne Fluke,1617732257,0,2018-03-18,RASPBERRY DANISH MURDER,1,3
424,BAAE,0,Corinne Michaels,1942834225,0,2018-03-18,ONE LAST TIME,1,3
425,Zebra,0,Lisa Jackson,1420146408,0,2018-03-18,RUTHLESS,1,1
426,Berkley,0,Mark Greaney,045148892X,0,2018-03-11,AGENT IN PLACE,1,3
427,Penelope Ward,0,Penelope Ward,1942215738,0,2018-03-11,GENTLEMAN NINE,1,2
428,Waterhouse,0,Helen Hardt,None,0,2018-03-04,UNRAVELED,1,1
429,Scribner,0,Jason Matthews,1501140108,0,2018-03-04,THE KREMLIN'S CANDIDATE,1,3
430,Dial,0,Sophie Kinsella,039959289X,0,2018-03-04,SURPRISE ME,1,2
431,Putnam,0,Alex Berenson,0698407539,0,2018-02-25,THE DECEIVERS,1,2
432,Tyndale House,0,Francine Rivers,149640792X,0,2018-02-25,THE MASTERPIECE,1,2
433,Zebra,0,Kat Martin,1420143174,0,2018-02-18,BEYOND DANGER,1,2
434,Delacorte,0,Alan Bradley,0345540018,0,2018-02-18,THE GRAVE'S A FINE AND PRIVATE PLACE,1,7
435,Avon,0,Jill Shalvis,0062741810,0,2018-02-11,ABOUT THAT KISS,1,3
436,MIRA,0,Susan Mallery,1488023689,0,2018-02-11,SISTERS LIKE US,1,3
437,Ballantine,0,Karen Cleveland,1524797030,0,2018-02-11,NEED TO KNOW,1,3
438,Del Rey,0,Pierce Brown,0425285928,0,2018-02-04,IRON GOLD,1,2
439,Vi Keeland,0,Vi Keeland,1942215711,0,2018-02-04,"SEX, NOT LOVE",1,3
440,Heidi McLaughlin,0,Heidi McLaughlin,None,0,2018-02-04,FOREVER MY GIRL,1,3
441,Ballantine,0,JR Ward,0698193326,0,2018-01-28,BLOOD FURY,1,2
442,Putnam,0,Chloe Benjamin,0735213186,0,2018-01-28,THE IMMORTALISTS,1,2
443,Dutton,0,Brad Taylor,1101984821,0,2018-01-28,OPERATOR DOWN,1,2
444,Putnam,0,Stuart Woods,073521719X,0,2018-01-21,UNBOUND,1,1
445,Simon & Schuster,0,James Lee Burke,1501176854,0,2018-01-21,ROBICHEAUX,1,1
446,Berkley,0,Jayne Ann Krentz,0399585265,0,2018-01-21,PROMISE NOT TO TELL,1,4
447,Scribner,0,Jesmyn Ward,1501126067,0,2018-01-21,"SING, UNBURIED, SING",1,3
448,Putnam,0,Robert Crais,0399573909,0,2018-01-14,THE WANTED,1,2
449,Waterhouse,0,Helen Hardt,None,0,2018-01-14,TWISTED,1,1
450,Morrow,0,Kate Quinn,0062654209,0,2018-01-14,THE ALICE NETWORK,1,3
451,Morrow,0,James Rollins,006238175X,0,2017-12-24,THE DEMON CROWN,1,3
452,Orbit,0,James S A Corey,0316332828,0,2017-12-24,PERSEPOLIS RISING,1,2
453,Delacorte,0,Danielle Steel,1101883979,0,2017-12-17,PAST PERFECT,1,2
454,Bantam,0,Dean Koontz,0345546814,0,2017-12-10,THE WHISPERING ROOM,1,3
455,Grand Central,0,James Patterson and Ashwin Sanghi,1538759659,0,2017-12-03,COUNT TO TEN,1,3
456,Red Dress,0,Meghan March,1943796033,0,2017-12-03,DEFIANT QUEEN,1,2
457,Berkley,0,Mary Balogh,0399586075,0,2017-11-26,SOMEONE TO WED,1,3
458,Pantheon,0,Alexander McCall Smith,1101871385,0,2017-11-26,THE HOUSE OF UNEXPECTED SISTERS,1,5
459,Simon & Schuster,0,Richard Paul Evans,1501172034,0,2017-11-26,THE NOEL DIARY,1,3
460,Kristen Ashley,0,Kristen Ashley,None,0,2017-11-26,COMPLICATED,1,1
461,Howard Books,0,Karen Kingsbury,1451687621,0,2017-11-26,IN THIS MOMENT,1,3
462,Avon,0,Eloisa James,0062389483,0,2017-11-19,WILDE IN LOVE,1,3
463,Flatiron Books,0,Mark Frost,1250163307,0,2017-11-19,TWIN PEAKS: THE FINAL DOSSIER,1,5
464,HQN,0,Diana Palmer,0373803729,0,2017-11-19,WYOMING WINTER,1,2
465,Putnam,0,Stuart Woods,0735217165,0,2017-11-12,QUICK & DIRTY,1,3
466,St. Martin's,0,Iris Johansen,1466887230,0,2017-11-12,MIND GAME,1,2
467,Simon & Schuster,0,Alice Hoffman,1501137492,0,2017-10-29,THE RULES OF MAGIC,1,4
468,Oak Press,0,Bella Andre,1945253460,0,2017-10-29,YOU DO SOMETHING TO ME,1,5
469,Ballantine,0,Debbie Macomber,0399181237,0,2017-10-22,MERRY AND BRIGHT,1,3
470,Atria,0,Colleen Hoover,1501170635,0,2017-10-22,WITHOUT MERIT,1,2
471,"Little, Brown",0,Elin Hilderbrand,0316435481,0,2017-10-22,WINTER SOLSTICE,1,2
472,HQN,0,Susan Mallery,None,0,2017-10-15,SECOND CHANCE GIRL,1,3
473,HQN,0,RaeAnne Thayne,0373803680,0,2017-10-15,SUGAR PINE TRAIL,1,3
474,Berkley,0,Nalini Singh,0451488253,0,2017-10-15,ARCHANGEL'S VIPER,1,2
475,Avon,0,Lynsay Sands,0062468863,0,2017-10-15,IMMORTALLY YOURS,1,2
476,Putnam,0,Jan Karon,0399183736,0,2017-10-08,TO BE WHERE YOU ARE,1,5
477,Mira,0,Heather Graham,1460398858,0,2017-10-08,WICKED DEEDS,1,2
478,Atria/Keywords,0,Gabbie Hanna,1501178326,0,2017-10-08,ADULTOLESCENCE,1,1
479,Gallery Books,0,Catherine Coulter,1501138111,0,2017-10-01,ENIGMA,1,1
480,Putnam,0,Clive Cussler and Robin Burcell,0399575553,0,2017-10-01,THE ROMANOV RANSOM,1,3
481,Putnam,0,Reed Farrel Coleman,0698166612,0,2017-10-01,THE HANGMAN'S SONNET,1,3
482,Atria/Emily Bestler,0,Vince Flynn,1501180800,0,2017-10-01,AMERICAN ASSASSIN,1,2
483,Berkley,0,Christine Feehan,None,0,2017-09-24,DARK LEGACY,1,2
484,Viking,0,Craig Johnson,0698157540,0,2017-09-24,THE WESTERN STAR,1,3
485,Morrow,0,J A Jance,0062657569,0,2017-09-24,PROOF OF LIFE,1,3
486,Waterhouse,0,Helen Hardt,None,0,2017-09-17,SHATTERED,1,1
487,Riverhead,0,Gabriel Tallent,0735211191,0,2017-09-17,MY ABSOLUTE DARLING,1,3
488,HQN,0,Susan Mallery,1488028443,0,2017-09-10,YOU SAY IT FIRST,1,4
489,Avon,0,Tessa Dare,0062349074,0,2017-09-10,THE DUCHESS DEAL,1,3
490,Penelope Ward,0,Penelope Ward,1942215665,0,2017-09-10,DRUNK DIAL,1,2
491,Ballantine,0,Tess Gerritsen,0345543890,0,2017-09-03,I KNOW A SECRET,1,4
492,St. Martin's,0,Lisa Scottoline,1250099730,0,2017-09-03,EXPOSED,1,1
493,Orbit,0,N K Jemisin,0316229253,0,2017-09-03,THE STONE SKY,1,3
494,Algonquin,0,Gabrielle Zevin,1616203943,0,2017-09-03,THE STORIED LIFE OF A. J. FIKRY,1,7
495,Ballantine,0,Debbie Macomber,0399181202,0,2017-08-27,ANY DREAM WILL DO,1,4
496,Putnam,0,Stuart Woods and Parnell Hall,0735217254,0,2017-08-27,BARELY LEGAL,1,2
497,Touchstone,0,Philippa Gregory,1476758786,0,2017-08-27,THE LAST TUDOR,1,3
498,BookShots,0,James Patterson with Maxine Paetro,0316504831,0,2017-08-20,THE MEDICAL EXAMINER,1,3
499,Ballantine,0,Jonathan Kellerman and Jesse Kellerman,0399594612,0,2017-08-20,CRIME SCENE,1,2
500,Avon,0,Ilona Andrews,0062289284,0,2017-08-13,WILDFIRE,1,1
501,Minotaur,0,C J Box,None,0,2017-08-13,PARADISE VALLEY,1,2
502,Grand Central,0,James Patterson and others,1478971630,0,2017-08-13,THE MOORES ARE MISSING,1,4
503,Zebra,0,"Lisa Jackson, Nancy Bush and Rosalind Noonan",1420137891,0,2017-08-13,OMINOUS,1,1
504,HQN,0,Marie Force,1460399986,0,2017-08-13,FATAL THREAT,1,2
505,Vi Keeland,0,Vi Keeland,1942215649,0,2017-08-06,BEAUTIFUL MISTAKE,1,2
506,St. Martin's,0,Iris Johansen and Roy Johansen,1466887346,0,2017-08-06,LOOK BEHIND YOU,1,3
507,Minotaur,0,Louise Penny,1429967234,0,2017-07-30,STILL LIFE,1,2
508,Random House Publishing Group,0,Kathy Reichs,0345544080,0,2017-07-30,TWO NIGHTS,1,2
509,HQN,0,Susan Mallery,1488023220,0,2017-07-30,SECRETS OF THE TULIP SISTERS,1,5
510,Berkley,0,Julie Garwood,None,0,2017-07-23,WIRED,1,1
511,Dell,0,Lee Child,0440336058,0,2017-07-23,THE HARD WAY,1,3
512,Berkley,0,Patricia Cornwell,None,0,2017-07-23,THE BONE BED,1,3
513,Penguin,0,Celeste Ng,1101634618,0,2017-07-23,EVERYTHING I NEVER TOLD YOU,1,5
514,Delacorte,0,Diana Gabaldon,039959342X,0,2017-07-16,SEVEN STONES TO STAND OR FALL,1,6
515,Zebra,0,Fern Michaels,142014068X,0,2017-07-16,HIGH STAKES,1,2
516,Random House,0,ï»¿Imbolo Mbue,0525509712,0,2017-07-16,BEHOLD THE DREAMERS,1,3
517,HQN,0,RaeAnne Thayne,037379939X,0,2017-07-16,SERENITY HARBOR,1,2
518,Avon,0,Sarah MacLean,0062379461,0,2017-07-16,THE DAY OF THE DUCHESS,1,5
519,Bantam,0,Janet Evanovich,0553392751,0,2017-07-09,DANGEROUS MINDS,1,2
520,Gallery Books,0,Mary Alice Monroe,1501125516,0,2017-07-09,BEACH HOUSE FOR RENT,1,4
521,Harper,0,Adriana Trigiani,0062319221,0,2017-07-09,KISS CARLO,1,2
522,Morrow,0,Don Winslow,0062664425,0,2017-07-09,THE FORCE,1,2
523,Berkley,0,Nalini Singh,1101987812,0,2017-07-02,SILVER SILENCE,1,2
524,Putnam,0,Stuart Woods,0735217130,0,2017-06-25,INDECENT EXPOSURE,1,2
525,Howard,0,Karen Kingsbury,1451687591,0,2017-06-25,LOVE STORY,1,2
526,Berkley,0,Christine Feehan,None,0,2017-06-18,SHADOW REAPER,1,2
527,Avon,0,Julia Quinn,0062388185,0,2017-06-18,THE GIRL WITH THE MAKE-BELIEVE HUSBAND,1,6
528,Avon,0,Ilona Andrews,0062289268,0,2017-06-18,WHITE HOT,1,2
529,Mira,0,Heather Graham,0778330222,0,2017-06-18,DYING BREATH,1,2
530,Avon,0,Maya Banks,0062410199,0,2017-06-11,JUST ONE TOUCH,1,3
531,Waterhouse,0,Helen Hardt,None,0,2017-06-04,SURRENDER,1,1
532,Cemetery Dance,0,Stephen King and Richard Chizmar,None,0,2017-06-04,GWENDY'S BUTTON BOX,1,3
533,Grand Central,0,Scott Turow,1455553522,0,2017-06-04,TESTIMONY,1,1
534,Doubleday,0,Lincoln Child,0385531435,0,2017-06-04,FULL WOLF MOON,1,3
535,Penelope Sky,0,Penelope Sky,None,0,2017-06-04,BUTTONS AND PAIN,1,3
536,Knopf,0,Jo Nesbo,0385352174,0,2017-05-28,THE THIRST,1,2
537,Del Rey,0,Robin Hobb,0553392972,0,2017-05-28,ASSASSIN'S FATE,1,2
538,Ecco/HarperCollins,0,Dennis Lehane,0062129406,0,2017-05-28,SINCE WE FELL,1,3
539,Berkley,0,Amanda Quick,0698193628,0,2017-05-28,THE GIRL WHO KNEW TOO MUCH,1,6
540,BookShots,0,James Patterson,0316469742,0,2017-05-21,DETECTIVE CROSS,1,2
541,BookShots,0,James Patterson and Jassy Mackenzie,0316438839,0,2017-05-21,PRIVATE: GOLD,1,2
542,Putnam,0,Ace Atkins,0698413067,0,2017-05-21,ROBERT B. PARKER'S LITTLE WHITE LIES,1,6
543,Random House,0,Elizabeth Strout,0812989422,0,2017-05-14,ANYTHING IS POSSIBLE,1,3
544,St. Martin's,0,Iris Johansen,1466887222,0,2017-05-14,NO EASY TARGET,1,3
545,Gallery Books,0,Kresley Cole,1501120565,0,2017-05-14,WICKED ABYSS,1,2
546,Atria,0,Fredrik Backman,1501160788,0,2017-05-14,BEARTOWN,1,1
547,Putnam,0,Stuart Woods,0399574212,0,2017-05-07,FAST AND LOOSE,1,3
548,Harlequin,0,Ron Carr,1460396618,0,2017-05-07,ANY DAY NOW,1,3
549,Knopf,0,Anita Shreve,0385350910,0,2017-05-07,THE STARS ARE FIRE,1,4
550,Grand Central,0,Jeffery Deaver,1455536393,0,2017-04-30,THE BURIAL HOUR,1,3
551,Del Rey,0,Timothy Zahn,0345511271,0,2017-04-30,THRAWN,1,1
552,EverAfter Romance,0,Vi Keeland and Penelope Ward,1942215584,0,2017-04-30,MISTER MONEYBAGS,1,2
553,Harper,0,Anne Hillerman,0062391895,0,2017-04-30,SONG OF THE LION,1,4
554,Ballantine,0,J R Ward,0698192982,0,2017-04-23,THE CHOSEN,1,2
555,St. Martin's,0,Steve Berry,1466862629,0,2017-04-23,THE LOST ORDER,1,3
556,Atlantic Monthly,0,Donna Leon,0802189458,0,2017-04-23,EARTHLY REMAINS,1,2
557,Ampersand,0,Kristen Pro,1633500233,0,2017-04-23,EASY MAGIC,1,2
558,Avon,0,Lynsay Sands,0062468855,0,2017-04-16,IMMORTAL UNCHAINED,1,2
559,EverAfter Romance,0,Corinne Michaels,1942834217,0,2017-04-16,SAY I'M YOURS,1,3
560,Berkley,0,Christine Feehan,0399583947,0,2017-04-09,BOUND TOGETHER,1,2
561,Ballantine,0,Debbie Macomber,0553391976,0,2017-04-09,IF NOT FOR YOU,1,4
562,Touchstone,0,J A Jance,1501110810,0,2017-04-09,MAN OVERBOARD,1,2
563,Gallery Books,0,Catherine Coulter and J T Ellison,1501150359,0,2017-04-02,THE DEVIL'S TRIANGLE,1,3
564,Putnam,0,Clive Cussler and Justin Scott,0399575618,0,2017-04-02,THE CUTTHROAT,1,2
565,Harper/HarperCollins,0,Jacqueline Winspear,0062436619,0,2017-04-02,IN THIS GRAVE HOUR,1,4
566,Tyndale House,0,Joel C Rosenberg,None,0,2017-04-02,WITHOUT WARNING,1,2
567,Ace,0,Patricia Briggs,0698195817,0,2017-03-26,SILENCE FALLEN,1,2
568,Berkley,0,Maya Banks,0698176197,0,2017-03-26,BRIGHTER THAN THE SUN,1,4
569,ROC,0,Anne Bishop,0698190459,0,2017-03-26,ETCHED IN BONE,1,3
